,record_id,month,year,AverageTemperatureCelsius,AverageTemperatureUncertaintyCelsius,City,country_id,Country,Latitude,Longitude
5,474381,6,1853,11.059,2.754,Auckland,NEW,New Zealand,36.17S,175.03E
6,474382,7,1853,11.327,1.416,Auckland,NEW,New Zealand,36.17S,175.03E
7,474383,8,1853,11.585,0.861,Auckland,NEW,New Zealand,36.17S,175.03E
8,474384,9,1853,11.432,0.91,Auckland,NEW,New Zealand,36.17S,175.03E
9,474385,10,1853,12.707,1.102,Auckland,NEW,New Zealand,36.17S,175.03E
10,474386,11,1853,13.716,1.251,Auckland,NEW,New Zealand,36.17S,175.03E
11,474387,12,1853,15.47,3.059,Auckland,NEW,New Zealand,36.17S,175.03E
12,474388,1,1854,18.106,2.35,Auckland,NEW,New Zealand,36.17S,175.03E
13,474389,2,1854,18.54,2.032,Auckland,NEW,New Zealand,36.17S,175.03E
14,474390,3,1854,18.316,1.887,Auckland,NEW,New Zealand,36.17S,175.03E
15,474391,4,1854,15.515,1.779,Auckland,NEW,New Zealand,36.17S,175.03E
16,474392,5,1854,14.169,1.395,Auckland,NEW,New Zealand,36.17S,175.03E
17,474393,6,1854,12.51,1.554,Auckland,NEW,New Zealand,36.17S,175.03E
18,474394,7,1854,11.773,1.68,Auckland,NEW,New Zealand,36.17S,175.03E
19,474395,8,1854,11.558,1.308,Auckland,NEW,New Zealand,36.17S,175.03E
20,474396,9,1854,11.884,0.935,Auckland,NEW,New Zealand,36.17S,175.03E
21,474397,10,1854,12.641,3.006,Auckland,NEW,New Zealand,36.17S,175.03E
22,474398,11,1854,14.065,1.668,Auckland,NEW,New Zealand,36.17S,175.03E
23,474399,12,1854,15.572,2.18,Auckland,NEW,New Zealand,36.17S,175.03E
24,474400,1,1855,17.421,2.262,Auckland,NEW,New Zealand,36.17S,175.03E
25,474401,2,1855,17.97,2.85,Auckland,NEW,New Zealand,36.17S,175.03E
26,474402,3,1855,17.588,1.281,Auckland,NEW,New Zealand,36.17S,175.03E
27,474403,4,1855,16.436,1.533,Auckland,NEW,New Zealand,36.17S,175.03E
28,474404,5,1855,14.446,1.222,Auckland,NEW,New Zealand,36.17S,175.03E
29,474405,6,1855,12.69,0.976,Auckland,NEW,New Zealand,36.17S,175.03E
30,474406,7,1855,11.753,0.836,Auckland,NEW,New Zealand,36.17S,175.03E
31,474407,8,1855,11.283,1.579,Auckland,NEW,New Zealand,36.17S,175.03E
